"","logFC","logCPM","F","PValue","FDR"
"proZ",0.742027968402857,4.40255714668994,30.0719738313716,2.38684959732039e-05,0.000695545653026549
"pks3",-0.480739243890113,8.6754242133955,29.9382217487877,2.45254765382019e-05,0.000702857959300638
"Rv2966c",0.913218099181595,3.28801590782868,29.9324417658222,2.45841171669045e-05,0.000702857959300638
"grpE",-0.864665743318939,8.61246789280045,34.4167337417003,2.46554139256452e-05,0.000702857959300638
"Rv0347",-0.588397413258074,5.83852733188566,29.8510128401242,2.49676492296356e-05,0.000706638360211413
"Rv1507c",-0.738871186821483,5.59713102747333,30.2690566408696,2.51890500882027e-05,0.000707812307478496
"pknA",0.481046430673576,6.71022014759591,29.7242646334888,2.56250495077703e-05,0.000714957055060769
"pks10",-0.509290801036632,6.39557762233761,29.6706670897655,2.59086844161657e-05,0.000717780031642224
"ncRv3648c",0.623828736150244,8.07882800649256,30.120999589817,2.7043460841767e-05,0.000743978845814766
"umaA",-0.576621853230734,8.02234727952725,29.0817756135158,2.92660960388057e-05,0.000799533484837929
"Rv1805c",-0.855737927233112,10.5832023833872,30.2616880792646,2.95487185181984e-05,0.000801687301038569
"ncRv12196",0.752251356098009,4.17964009498504,28.8440543731382,3.0759952811092e-05,0.000822290072581585
"lipL",0.444274895683456,7.33529846288778,28.8222874401514,3.08955747133954e-05,0.000822290072581585
"ftsQ",0.629498607938433,5.21273107813474,28.8166312490876,3.09351628729219e-05,0.000822290072581585
"Rv0348",-0.616329326183856,5.33500811351569,28.6431377938931,3.20802016360806e-05,0.000847003444539201
"aroE",0.928534563863124,4.48855535932611,29.1482339636553,3.34905611797057e-05,0.000878345784539749
"ncRv1171",-0.672779307271055,5.4895304746511,28.2974360217725,3.45074731133255e-05,0.000899022511442533
"ftsW",0.648426840349212,6.68688693569863,29.318577484934,3.55589829054416e-05,0.000920322623355311
"Rv0990c",-1.25219080282392,7.25809722547966,42.2276480530862,3.59582649318984e-05,0.000924573949294694
"Rv3693",0.508977579559048,5.80889715730866,27.9525723969144,3.71320255888646e-05,0.000948554471860997
"ccsA",0.735280565108245,4.91452104194628,27.882763919416,3.76920600104584e-05,0.000952389196241113
"Rv0823c",0.944525688997466,9.30548703621632,33.5912974931856,3.77663229826166e-05,0.000952389196241113
"Rv3230c",0.582270662994212,9.30916816805138,27.755782445775,3.87268708411713e-05,0.000970391782733553
"Rv1186c",-0.514229728204167,6.48963920816905,27.6823517641173,3.9341893908338e-05,0.00097956335845191
"alkB",-0.519623101628013,5.61158791329351,27.6055033252754,3.99979936755886e-05,0.000989635893835004
"Rv1490",-0.591525960480095,5.49920233452195,27.5590340533071,4.03997312067103e-05,0.000993328391044989
"Rv0499",0.704456288487046,4.41263117421964,27.4604917797004,4.1275177492476e-05,0.00100594924353769
"rpsC",0.494196950007653,7.68752105388172,27.442682876696,4.14244477511706e-05,0.00100594924353769
"PPE17",-0.468633457359636,6.68474090960721,27.3757197602854,4.20279214071456e-05,0.00101434259396142
"lpqB",0.423636676162452,6.97557594291515,27.2595836649484,4.30975636007577e-05,0.00102047289732521
"PPE19",0.731767502058852,4.43283814262721,27.2388255867251,4.32983943150259e-05,0.00102047289732521
"Rv1813c",-0.754303792353369,10.564644789579,27.2067480859816,4.35956751491547e-05,0.00102047289732521
"Rv2548A",-0.544224272302668,5.98507769742938,27.1937787961637,4.37175435236245e-05,0.00102047289732521
"proV",0.593314307551874,5.36883616918179,27.1863079782332,4.37897520526155e-05,0.00102047289732521
"PE_PGRS25",1.16150109325688,5.06330125022779,34.4576901401775,4.38383120609965e-05,0.00102047289732521
"nuoM",0.48065052567585,7.26321912499793,27.1373381269506,4.42568584048774e-05,0.00102161896591905
"mshA",0.467876314018596,6.77253262415076,27.12168100725,4.44069250564711e-05,0.00102161896591905
"Rv0726c",-0.49143334026732,6.07855533109592,27.039132781648,4.52120509723015e-05,0.00103409423561066
"ddn",-0.541102327722724,6.14595594759544,26.9072862918676,4.65310863766824e-05,0.00105811152488941
"Rv0225",0.572002589199126,5.47033326127492,26.8553182482008,4.70645302942063e-05,0.00106287999029053
"Rv2694c",-0.704388671419839,8.03568728513191,28.6550703724463,4.72811383581195e-05,0.00106287999029053
"whiB3",-0.516231093419951,5.98371491466713,26.7172760018868,4.85069980534326e-05,0.00108424164967161
"Rv2876",-0.495836995858773,6.25298474553095,26.5772489066941,5.00225502481782e-05,0.00111180063658945
"rpoC",0.512996046816694,9.82608149444747,26.4660688180727,5.12623556356214e-05,0.00113295565769963
"accD6",0.595498180995748,9.95860329101693,26.2999605190627,5.31793713619163e-05,0.00116875780412167
"ncRv2346c",-0.495843333595078,7.77270974788174,26.1877575499365,5.45190142838067e-05,0.00118939196008021
"ruvB",0.728339007325313,4.90076196477887,26.1712650305916,5.47229142792368e-05,0.00118939196008021
"Rv3847",-0.4339162338165,6.72431338516857,26.1399822698238,5.51008106580915e-05,0.00119102521499413
"Rv2456c",0.408478836361866,6.29757437045962,26.0557617328133,5.6143865634019e-05,0.00120693971259143
"ncRv12659",-0.812885000940088,6.13232434525296,27.2373163798806,5.68529353998874e-05,0.00121554047751716
"ncRv3875",-1.22988757070357,10.073291685269,35.2026892826199,5.72919650575978e-05,0.00121830589479238
"rpmG2",-0.490114493961736,6.69233539062435,25.8918683398206,5.82344152439091e-05,0.00123115782517878
"Rv3672c",0.433949001292673,5.93173419881855,25.8651825748623,5.85837989901745e-05,0.00123115782517878
"fadE4",-0.446709406795019,6.86011333641435,25.8459297459304,5.88351985596366e-05,0.00123115782517878
"Rv1451",0.449271447270962,6.75914249722671,25.7710035043345,5.98308233788556e-05,0.00123815148420401
"ncRv2986Ac",0.557476410959963,8.12406138478279,25.8769380040362,6.0299704847332e-05,0.00123815148420401
"ppsE",0.571125145632872,6.78340823601629,26.1288200494048,6.03320804622135e-05,0.00123815148420401
"mmpS4",-0.825434785679691,7.06482772344115,30.5539417052655,6.05860330542133e-05,0.00123815148420401
"ncRv13661B",0.623274941270509,5.59034887119185,25.690910769104,6.09177817189868e-05,0.00123815148420401
"dnaJ1",-0.577960429539607,8.43618762635542,25.7651077780834,6.11107085724836e-05,0.00123815148420401
