"","logFC","logCPM","F","PValue","FDR"
"Rv0688",-0.35811249674,6.87571313709421,14.1549347443882,0.00124773615299848,0.00966258666514965
"35kd_ag",-0.407808705865421,8.98235746950923,14.138638797739,0.00125402015955218,0.00969217152785514
"Rv2850c",0.351720861978688,6.2131685560046,14.119141219964,0.00126159384749303,0.00973158861968156
"lrpA",-0.523670755292284,4.78257944096592,14.1087680492768,0.00126568095650166,0.00974400955553334
"aao",0.34924825204087,6.61093975569112,14.0506314416933,0.00128857824582604,0.00988233569326126
"mymT",-0.556645250018292,8.03309068835814,14.7406026009907,0.001288672651409,0.00988233569326126
"clpP2",-0.3783766448883,8.45197952791589,14.0184466938568,0.00130147346449329,0.00996108289750311
"mcr3",-0.456221501329482,6.36784942486184,14.1884815605974,0.0013154730812055,0.0100486817504125
"parD1",-0.528391266660806,4.38301350046924,13.9418953271961,0.00133278566767438,0.0101562744632028
"vapC31",-0.471978990126686,4.46848082109612,13.9372232324484,0.00133472137709096,0.0101562744632028
"Rv2560",-0.491844125098118,6.10009883992512,14.2508553489862,0.00134440253140002,0.0102101921979299
"treS",-0.330578551521795,6.70166982017185,13.9067043757079,0.00134738111878099,0.0102130969581588
"Rv1463",-0.430543617497742,8.85226454992502,13.8349277327427,0.00137781502960502,0.0104237006278195
"Rv1998c",-0.465476288349464,9.0994266619487,13.768865898067,0.00140650596015343,0.0106203348315616
"cysK2",-0.443404518677617,6.94743297305013,13.8081121981515,0.00141055457316035,0.0106205446360719
"Rv0201c",0.386640504386925,5.80698591700131,13.7565483930999,0.00141193310743915,0.0106205446360719
"Rv1861",-0.466950493422283,5.46458791516095,13.7150204788715,0.00143038732906546,0.0107388239552358
"mapA",0.335508656808996,6.63289486598671,13.6939218206358,0.0014398523618799,0.0107711183018188
"Rv0145",0.320754681448786,8.95182538250603,13.6931967327373,0.00144016477548467,0.0107711183018188
"Rv3231c",0.384226948366523,5.35634047063339,13.6769421026417,0.00144754515092095,0.0108057734795503
"groEL1",-1.18275710241122,9.00638291970798,20.2908242915167,0.0014569435823499,0.010844970732475
"Rv3249c",-0.336677708380001,6.98986691754084,13.6532286884218,0.00145830948588695,0.010844970732475
"Rv0115a",-1.24933529223567,6.06175599842831,20.0699153845156,0.0014685617420192,0.0109006073454784
"Rv3238c",-0.40539257301235,5.6747343649827,13.6160220384776,0.0014754448160229,0.010931073269744
"Rv1752",0.486619863216076,3.71713294184793,13.5905534182547,0.00148768654170324,0.0110010504794371
"Rv2569c",-0.443528587732679,4.8078038704271,13.5669153685442,0.00149841751932811,0.0110515004994965
"Rv2022c",-0.44256926658379,5.51980257090098,13.5632145529297,0.0015001274190979,0.0110515004994965
"ncRv3219",-0.376338934957717,8.06064057743298,13.5484709658239,0.00150707770573772,0.0110819508306022
"vapC15",0.468006211032543,5.45701637337868,13.5077242127019,0.00152655830775542,0.0112042544453541
"egtD",0.393660440833548,5.30333054264015,13.4895145145411,0.00153535420457273,0.0112478276364788
"Rv0810c",-0.351869558400356,7.5472161445879,13.4532390127117,0.0015529837304596,0.0113558327056284
"fbpA",0.398698811786736,9.53708088442227,13.442524747335,0.00155824428263484,0.011363103952578
"amiC",0.284253727669346,7.40963684059125,13.4394571870469,0.00155975499094868,0.011363103952578
"gpdA1",-0.356091006055514,6.11374492647313,13.392544218826,0.00158305308732233,0.0115115172745398
"Rv2559c",-0.403527117427402,6.57345401240583,13.3858666372358,0.00158639682428708,0.0115145481674269
"Rv2974c",0.589888059245083,4.48595565426681,13.3649760756875,0.00159698272007622,0.0115700368706811
"eccE5",0.327403015895316,7.588820651564,13.3110372356483,0.00162444180644933,0.0117473420341391
"pyrE",0.406939621185114,5.22297514800364,13.2736484014466,0.00164386354862879,0.0118574193044227
"Rv2050",-0.325206018895983,7.66411229701077,13.264367746122,0.00164868173418917,0.0118574193044227
"Rv0080",-0.934521496878305,8.81715843024825,14.8429447956504,0.00164870573449903,0.0118574193044227
"PE4",-0.60787807672363,3.66942185124416,13.2454995583954,0.00165874206115659,0.0119078307820986
"rpsF",-0.323295591590913,6.75365521591978,13.2116376016413,0.00167656135532315,0.0120138294569058
"Rv2707",-0.459588755161557,8.17501447488262,13.484787711645,0.00169412898559863,0.0121176425988091
"Rv2802c",0.44968344660437,4.57349119068965,13.1602966499578,0.00170425586063783,0.0121679538216865
"Rv1882c",0.337296863109044,6.11998445827793,13.1529637648288,0.00170819801656456,0.0121740054296467
"bpoB",0.391002091995721,5.30072465954639,13.1322313919428,0.00171955200851493,0.0122327623896885
"Rv1892",-0.365608805304621,6.24097409133918,13.0844547464513,0.0017459575985108,0.0123981898782337
"mutA",0.415952155166197,5.25819809201874,13.0637310311848,0.00175758872611324,0.012458295582936
"frr",-0.331332164057311,7.22743925273044,13.0475792226343,0.00176666363284293,0.0125000984381369
"Rv2975a",-0.363715517029514,6.57510715178252,13.0060232196169,0.00179033756232468,0.0126448617058982
"pstA2",0.38219942019674,5.78276069225918,12.9686300576343,0.00181195785917354,0.0127746276308041
"cydB",0.39820631689895,8.42912825020132,12.952516272035,0.00182133052787744,0.0128149736306306
"Rv0204c",0.307477975367219,6.27144244566587,12.9476367876937,0.00182419553460934,0.0128149736306306
"Rv0909",-0.456709322757603,5.71552562792732,12.9653882081637,0.00183927728613344,0.0128978909868966
"TB15.3",-0.396744839941163,8.18781435684394,12.8882918883004,0.0018593141986776,0.0130151993907432
"Rv3675",-0.315000574314554,8.08630128191993,12.8733945845498,0.00186825123512417,0.0130545299448997
"Rv3586",0.320358751710098,6.52579653562114,12.8645156614232,0.00187360259869263,0.0130576207161474
"Rv2466c",-0.697730997852643,8.62121737965451,14.5002289691158,0.00187533190254787,0.0130576207161474
"rplI",-0.315207706661795,7.6480088921892,12.845264575655,0.00188525683032365,0.0131035342234863
"php",-0.352763794474191,6.70495542999134,12.8394021193856,0.00188882347910957,0.0131051703118466
"nrdB",-0.410847602939172,7.54485919577367,12.9024693656502,0.00189286910696698,0.0131101180753664
"Rv1312",0.369223262292913,6.47407583398729,12.8049973464611,0.00190990851085962,0.0132048859081226
"pstS3",-0.369733099474304,6.08459954791896,12.7857741242758,0.00192180451558425,0.0132352783040287
"Rv2325c",0.363392528402537,6.24621176630149,12.7805394318475,0.00192504312977406,0.0132352783040287
"ackA",0.443147883705152,5.37239358771918,12.7783725405934,0.00192642570283626,0.0132352783040287
"Rv0010c",0.38275805277922,5.93161202949278,12.7762443633204,0.00192776168485217,0.0132352783040287
"Rv2777c",-0.402222122117758,7.41227546991896,12.7923873802765,0.00194410548625366,0.0133242351618848
"Rv1577c",0.53947350430172,4.56081033360409,12.7211706962275,0.00196242874408251,0.0134264255290793
"dapF",0.35781469553348,5.989647609772,12.6922981664571,0.0019807967175922,0.0135285664704995
"ureC",0.379856690587552,5.14143163388845,12.6622539943261,0.00200022453661692,0.0136375794229652
"fadD35",-0.387169148179338,5.28186599810155,12.6508561363845,0.00200761610266826,0.0136642936814826
"gnd2",0.359836868260764,5.47649253842032,12.6341564364727,0.0020185251520079,0.0137112217394578
"whiB4",-0.335248872883306,6.72158646420282,12.6266333145447,0.0020234308788486,0.0137112217394578
"Rv3098A",-0.36877789766869,6.16838766741817,12.624299505432,0.00202496691169929,0.0137112217394578
"PE_PGRS28",0.59031862952068,3.34233174645647,12.5889214396638,0.00204876824884493,0.0138292146355096
"Rv1978",-0.386025272590024,5.70323794485458,12.5873864736942,0.00204942352122575,0.0138292146355096
"ncRv0860",0.638591232013995,5.56537246296651,13.9161111148652,0.00206410881105453,0.0138771227881225
"Rv1461",-0.422713608187875,11.268454066723,12.5607538064216,0.00206723830676265,0.0138771227881225
"rsfA",-0.368675026107777,5.68299397117774,12.556296512386,0.0020702608165196,0.0138771227881225
"Rv1508c",-0.291683919940192,7.19780031416848,12.5557152812413,0.00207063321724146,0.0138771227881225
"dsbF",0.351147326777445,5.69187254594435,12.5180909833811,0.00209620457377228,0.0140203873431498
"cysG",0.383447582446564,5.54509543469864,12.5137936465919,0.00209913781014622,0.0140203873431498
"Rv0925c",-0.379447899060073,6.77671659139894,12.5029079771218,0.00210658083208036,0.014036596024195
"lpqI",0.483534487459357,5.39269876559997,12.6246851062508,0.00210870062285187,0.014036596024195
"Rv2026c",-0.436358105793866,4.64586326895183,12.4747161831174,0.00212611607216046,0.0140861753987333
"ldtB",-0.363026524847748,6.87709421779574,12.4742178692668,0.00212639087559988,0.0140861753987333
"cobT",0.410048999916112,5.8262370137019,12.4735279028566,0.00212689074398769,0.0140861753987333
"fadD28",-0.347239926768887,9.26259312343402,12.4636371250061,0.0021337498452202,0.0141078519178089
"Rv1151c",-0.430731183989802,5.07279032034202,12.4567331829803,0.00213861017946722,0.014116262493329
"esxB",-1.3152166037171,10.6754161278954,17.9390864056345,0.00217450493088264,0.0143255531322082
"Rv3220c",0.287304537670928,7.38423575569593,12.4014282747536,0.00217760060321822,0.0143255531322082
"vapC10",0.37658264462468,7.99403669349269,12.3858209239195,0.00218875736190485,0.0143749106205904
"nuoA",0.348739533055562,5.99652957639718,12.363146686781,0.00220513482291596,0.0144493901695528
"ncRv13803c",0.480808766708238,5.19228143476003,12.3853459217029,0.00221040553953196,0.0144493901695528
"Rv2256a",0.47603909178113,4.3943421445814,12.3549633910297,0.00221111664516288,0.0144493901695528
"cobO",0.436322636395896,4.58082209694578,12.3454719714566,0.00221798543690687,0.0144702399814123
"PE_PGRS44",0.443671625083244,5.68417251393004,12.3402562771979,0.00225088843250224,0.014659627479395
"pks4",-0.363445248522631,10.1095255357224,12.2956580148332,0.00225446736782765,0.014659627479395
"Rv0232",-0.445396888543304,6.23169187905374,12.3922555013882,0.00226274189928372,0.0146891528577263
"Rv3413c",0.278794255743934,7.95262970184649,12.2754836583408,0.00226946836870133,0.0146944778625582
"Rv2719c",0.531228640815072,5.57880592537582,12.3130177247822,0.0022710326742337,0.0146944778625582
"Rv0863",-0.347340573814847,5.78663577529961,12.2615529557415,0.00227991329539215,0.0147277157702344
"Rv1634",0.47133392979365,5.72177568580593,12.4045788399423,0.00229232074701912,0.0147646685221499
"accD5",-0.313867248954043,7.78794784977174,12.2439471992582,0.00229313992552964,0.0147646685221499
"ncRv10243A",0.320483644121962,5.85747080810568,12.2382529514533,0.00229746342037685,0.014768335123795
"moaE1",-0.40105322397597,6.6942458560104,12.2652312601551,0.00230678540950734,0.0147870321312862
"pknH",-0.317519124959618,6.69500972671651,12.2244801100215,0.00230788961072947,0.0147870321312862
"Rv1303",0.295500859451766,7.54339799223668,12.2188727210962,0.00231215618111485,0.014790280352042
"Rv1417",0.505744363985672,4.40183183310701,12.2118259621727,0.00231764816615034,0.0148013439701874
"Rv0911",0.369446964796192,4.89392477593692,12.1922720247722,0.00233261429175753,0.0148727789688398
"Rv3104c",0.317142892021179,6.08862498188151,12.1630813318579,0.00235511317234701,0.0149894520398524
"rplJ",0.449344006317847,6.07923865949196,12.4217506088043,0.00235994299976474,0.0149894520398524
"Rv3735",-0.333937988391299,6.43325076809087,12.1537824615479,0.00236234373785167,0.0149894520398524
"Rv3819",-0.400187387073518,4.76420950070671,12.1433571771036,0.00237057030526057,0.0150174292768037
"Rv0421c",0.66321805371884,3.93382103491934,12.2417042945334,0.002376268783052,0.0150293269976312
"fbiC",0.293500913701984,8.3108597878173,12.092567409781,0.00241064344137269,0.0152222653264208
"fadD14",-0.389801287039325,6.11736678072389,12.081034756404,0.0024198775251622,0.0152560868333142
"proW",0.584166036259146,4.00626171198631,12.0545175145945,0.00244139944045074,0.0153671446379731
"Rv2557",-0.498100922304066,8.9626163966588,12.4397379508056,0.00246189626705064,0.0154714056143406
"metV",-0.496700478306204,4.01381033898005,12.0243548712324,0.00246595613938688,0.0154722032732822
"cmaA2",-0.295202614907715,8.26372099403065,12.0189721194541,0.00247017017843135,0.0154739641432308
"ncRv13418Ac",-1.67014745627849,8.3825021530871,19.9502714656408,0.00247491628903585,0.0154790471877059
"fadE24",-0.58090518567382,8.88117898070331,13.0453833376811,0.00247893051707215,0.015479543895495
"Rv0258c",-0.521352378384769,4.54747001409149,11.9964446352262,0.00248878840873102,0.0155010101875684
"vapB2",0.357317354270256,5.93317841182844,11.9946173753549,0.00249024871340702,0.0155010101875684
"Rv2302",-0.366175814698605,6.93987567142244,11.9885714485157,0.00249523485642424,0.0155075101503522
"Rv2823c",-0.323627283430529,6.44505954104475,11.9429354614092,0.00253339174843304,0.0157198156756082
"amiD",0.481636881756377,3.88076858515072,11.9286463416231,0.00254590410498917,0.0157725775575235
"rmlA",-0.402644523953917,5.88513412992338,11.9087394451379,0.00256242394080544,0.0158499619231582
"accE5",-0.753401797782063,6.58278727661672,15.0274072064454,0.0026183929397497,0.0161707344191135
"lepB",0.286373065478627,7.94689337609018,11.837650657842,0.00262391026677291,0.0161794090744273
"Rv0516c",-0.368855877400936,8.2941279247508,11.8046987156336,0.00265297390992058,0.01633301934527
"Rv1258c",0.42796384452128,4.36268836648018,11.7996961089465,0.00265753432819445,0.0163355313236202
"Rv0446c",0.427663286481259,5.11130792946534,11.7822055014584,0.00267310367499627,0.0164056004016152
"Rv3098c",-0.418296816188456,5.32031321444001,11.7580852565166,0.00269473717580022,0.0165126106691559
"Rv2337c",-0.423210539126576,7.64594750799969,11.9927143485729,0.00270768415519574,0.0165661422496735
"fadE13",0.72090448464051,3.4165786207059,11.8230108457259,0.00272637071410347,0.0166545689274581
"cyp135B1",0.269711892824147,7.43595829504687,11.7099570262208,0.00273854696832534,0.016703013602158
"ncRv0668",0.533055909598381,4.50600438984534,11.6693435101,0.00280920129205643,0.0171074270633901
"lexA",0.335575145605081,7.46545418458817,11.6235303022807,0.00281928711668178,0.0171339598469919
"mpt63",-0.306821175222281,8.08598110420813,11.6180154846405,0.00282452749907311,0.0171339598469919
"Rv2012",-0.742378411487563,3.22149077998364,11.6075653696454,0.00283487301710724,0.0171339598469919
"Rv1535",-0.679066442696124,10.4469447783763,12.9588757983875,0.00283950265109225,0.0171339598469919
"lprP",0.651035076213083,2.9087879214249,11.6036823980271,0.00283962883548374,0.0171339598469919
"ncRv2197c",0.62414583658573,3.17290382080144,11.5978492131788,0.00284460392355263,0.0171339598469919
"parB",0.318031320208522,6.438913411977,11.5932350550735,0.00284823412106036,0.0171339598469919
"Rv0826",-0.474041520229214,4.84362605891931,11.5893218271789,0.00285203802932746,0.0171339598469919
"ncRv11793",-0.376953906089738,5.85375114054317,11.5885237344988,0.00285275640563795,0.0171339598469919
"ncRv0822c",0.405036314759806,4.75200906194757,11.5463904234648,0.00289365513552249,0.0173531086938193
"Rv1645c",-0.367133130029439,5.41728535528693,11.5382149144327,0.00290162343724344,0.0173744088312263
"Rv1597",0.293029198498251,6.82005863813024,11.5309291601176,0.00290874027312168,0.0173905535478126
"far",-0.363379548916435,6.33305622629285,11.5094854437854,0.00292990560836858,0.0174905139048892
"prcA",0.311987549817424,6.95209104206782,11.5022181092509,0.00293711085045091,0.0175069607358695
"hspR",-0.578092220008022,6.23634072181582,12.7756199111551,0.00298823134380687,0.0177847233079217
"trxA",-0.448764872534473,4.92508486514451,11.407867263938,0.00303258731425551,0.0180214478765576
"Rv2395",0.314239269600206,6.56669379677846,11.3926593011305,0.00304824491659642,0.0180871727027003
"Rv0076c",-0.374552248872819,5.40181669372782,11.3862809517529,0.0030548768877193,0.018099225416096
"ncRv3213c",0.304399837687205,6.92825331438,11.3691980493776,0.00307262720824035,0.0181613640687353
"Rv1697",0.435781728238483,7.62726862671145,11.9251105888358,0.00307459798418346,0.0181613640687353
"Rv3671c",0.319748924827377,6.35846080234686,11.3584034273202,0.00308394758060615,0.0181654202647966
"erg3",-0.376103013912366,6.09617030549691,11.357838490494,0.00308451976026542,0.0181654202647966
"grcC1",0.292301043498447,6.47003597677699,11.3129253554176,0.00313204040503658,0.0183848781690996
"Rv0987",-0.559983769214792,6.81083919519625,12.8641244802798,0.00313821206117646,0.0183848781690996
"Rv2252",-0.435100479737699,4.91627886901742,11.3053472390204,0.00314020675475709,0.0183848781690996
"tgs4",-0.340830157453155,6.16527764448474,11.3050273133173,0.00314047740966826,0.0183848781690996
"hisE",-0.815356212386512,5.19320786462399,12.412917450814,0.00314579754833931,0.0183886590715703
"ppgK",-0.36075901102076,6.02437988896874,11.2932523934978,0.00315311301122633,0.0183922241188651
"nuoE",0.415342670380089,6.64539785576575,11.5737077948996,0.00315575782415708,0.0183922241188651
"Rv0257",-0.324083705112773,6.08680850752409,11.2670847547743,0.0031813920078232,0.0185141955011486
"Rv2750",0.293933846691266,5.99341446434233,11.2591587378323,0.00319001027061208,0.0185290281817409
"Rv1117",-0.326373142742627,6.81760215372145,11.256060473009,0.00319336072883079,0.0185290281817409
"Rv1360",0.414537491888799,5.73626493346217,11.2753898233487,0.00320927219756002,0.0185939275776158
"lpqH",-0.42992720601837,9.45002371925343,11.2668908289743,0.00321850878599406,0.0186200199472068
"murI",0.363265875276544,5.46163174278274,11.2077885425844,0.00324651125726269,0.0187278310256689
"Rv2000",-0.661604781153473,4.94133360288821,12.2132646261581,0.00324910724769124,0.0187278310256689
"Rv3673c",0.399485202340635,5.27788341716299,11.2033794684134,0.00325142567120789,0.0187278310256689
"ndhA",-0.322361540635081,6.33235317894678,11.1931768769104,0.00326273994790747,0.0187655247881111
"Rv1692",0.443165818066509,4.60231687788939,11.1785570154843,0.00327923681144025,0.0188328724324174
"atsG",-0.320993247502653,6.06798220723951,11.1497759694727,0.00331162297614524,0.018974614096631
"moaR1",-0.488361786181014,4.06386664007189,11.1474077556309,0.00331443877296572,0.018974614096631
"Rv3093c",1.04360998216131,4.42269711695843,14.0973620005668,0.00331838701029032,0.018974614096631
"Rv2614A",0.711918172901987,2.41216848710352,11.1199008723737,0.00334894543289123,0.0191215549100059
"whiB1",-0.369905636005352,10.2093023687372,11.0971356385096,0.00337194794281709,0.019224990155134
"ndh",-0.388163657186434,7.85212638060935,11.1195650162111,0.0033842368227725,0.0192671312022967
"ASdes",0.738774323807948,9.0730172923928,13.4536772309977,0.00344428737369247,0.0195394172542064
"fprB",-0.400096993941444,8.1787374600191,11.0635222347242,0.00344975208553081,0.0195394172542064
"nrdI",-0.301365414338682,9.18053290756807,11.0301715598154,0.00345049612997325,0.0195394172542064
"Rv2898c",0.527967444681773,3.96531919653703,11.0293892814704,0.00345193060286565,0.0195394172542064
"furA",-0.432991820700423,7.37610115373794,11.234269812044,0.00346280628721231,0.019572815996973
"Rv2035",-0.514488857542816,5.31188603569702,11.0513295446699,0.00347319152892022,0.0196033507529012
"ncRv11179c",-0.532790474951547,4.02656497250793,10.9962714677131,0.00349123362422396,0.0196769528333769
"Rv2558",-0.38878142952417,8.3371813337745,10.9893167423249,0.00353867862296941,0.0199158250397163
"Rv3041c",0.44234196132633,5.32972453022056,10.968846688392,0.00356257777705955,0.0200216871070747
"Rv3807c",0.346284867085575,5.61464028808526,10.9108870489562,0.00359553904714628,0.0201781035827011
"metK",0.276620058434008,7.5951872909446,10.9025027710591,0.00360594477237491,0.0202076734110013
"cyp135A1",-0.496639392723122,4.27156438541644,10.8826206305867,0.00363096382168159,0.020318935525598
"PE_PGRS59",0.350565274103003,5.88837460191472,10.877762786148,0.00363698275091721,0.020323707588222
"ftsK",0.360390590995405,7.59468069774204,10.9032160496053,0.00364507055650589,0.0203400107365875
"rplE",0.295880953723191,7.55451246272552,10.8608772212405,0.00365829802900427,0.0203849071474544
"Rv1598c",-0.346657065737962,6.07323040100796,10.8464998875113,0.00367658645393367,0.0204578374961458
"manB",0.278826450456054,6.72549172337682,10.7903318213092,0.00374896664489267,0.0208094802884632
"fdxD",-0.565021652453843,4.75596849171266,10.8198625886752,0.00375036134329446,0.0208094802884632
"recA",0.334679274964305,9.0131971613602,10.7643133706338,0.00378302543131316,0.0209611578123746
"vapC40",-0.403523468892335,5.3566619076901,10.755663218909,0.00379447370274139,0.0209950204593314
"Rv2082",-0.325271360867186,6.17274346886427,10.7338900916646,0.00382332753388184,0.0211249585931055
"lppK",-0.44051187769238,4.63721833446481,10.6702823507761,0.00390915032551635,0.0215688602813202
"Rv2862c",-0.408848261530053,4.88206050797384,10.6546926664563,0.00393044911389048,0.0216297580699916
"mutB",0.372032638957854,5.68027476493926,10.654132603086,0.00393118378750482,0.0216297580699916
"echA10",0.374196582687763,5.69283645018891,10.638168139589,0.0039531789510336,0.0217203994320757
"Rv2651c",0.65356397805062,3.33051414258764,10.607457789356,0.00399632900767073,0.0219268595762575
"Rv1616",0.404158702148502,5.16771789602184,10.5868305810593,0.00402485285731548,0.0220526060455141
"murF",0.355639098540778,6.10520740780034,10.5665093477836,0.00405357148677825,0.0221790684686866
"proC",0.373003691275527,5.07353326946531,10.5524918365064,0.00407361948838619,0.0222333301166296
"mpt64",-0.312267279566245,7.79451039318266,10.5516035592139,0.0040747918185282,0.0222333301166296
"ncRv1324",0.378738493670002,4.63136403172933,10.5404838986191,0.00409086716434485,0.0222901266267765
"Rv0613c",0.348318614518027,7.09669403610772,10.5650860428565,0.00409868920340537,0.0223018579892071
"Rv0457c",-0.385052551478408,5.36196754102497,10.529262772236,0.004106906931483,0.0223157070006272
"Rv3033",-0.444646508040006,4.5651014470177,10.5211482156007,0.00411868206489245,0.0223308875878883
"Rv0175",0.263433604854185,8.34633507159903,10.5194352236113,0.00412105347961537,0.0223308875878883
"tesA",-0.442339005306616,6.28748653331319,10.9176686813027,0.00412845289589461,0.0223402114063953
"folC",0.347018012684697,5.72748282499508,10.5057943161173,0.00414089004757959,0.0223767327571128
"Rv1498c",-0.301395079660637,5.85279601750413,10.4930196675211,0.00415951618310651,0.0224465523516337
"qcrB",0.302824079911337,9.65660612593066,10.4714447446406,0.00419115890709074,0.0225863275897191
"Rv2776c",-0.360748356872898,5.79699995711565,10.46099639098,0.00420662491411112,0.0226386626704694
"Rv1272c",0.314861198383114,5.61438137111808,10.4528500468951,0.00421872397396737,0.0226484942015314
"rpmI",0.48497024636452,5.98425906876166,11.0938212855106,0.00421996600145463,0.0226484942015314
"Rv0921",-0.442107303869724,5.09714989240259,10.439699778051,0.00423832817524579,0.0226673773791438
"Rv1159A",-0.395559296118301,5.43449568118031,10.4362362617901,0.00424348584342174,0.0226673773791438
"Rv0955",0.264165349501376,6.89445353904801,10.4359254721286,0.00424390308023228,0.0226673773791438
"Rv3268",0.304018355657311,6.01466593210091,10.4341866817465,0.00424653206111566,0.0226673773791438
"rpfA",0.325443869388545,5.74455436933816,10.407748380196,0.00428631115598019,0.0228487101458348
"Rv0743c",-0.402322459027077,4.91760892752177,10.3845431957611,0.00432157986471553,0.0230055415261041
"nicT",0.345369983877094,5.11840086812993,10.3784358562331,0.00433094034169294,0.023024215275973
"Rv3605c",0.515423622271672,4.20938205849543,10.3688860139757,0.00434565008652811,0.0230712381112032
"Rv2708c",-0.370682351004501,6.23175759557607,10.3488332369511,0.00437637908638827,0.0232030664768888
"mycP3",0.424853181553898,8.56144325814262,10.5784836602775,0.00439476213934646,0.023269171273471
"aceAb",-0.28577113841797,6.92151026835103,10.3318032653712,0.00440280896604431,0.0232804441833579
"rpfB",0.344531928266071,7.02026929000798,10.3522700659173,0.00441625607691145,0.0233088559635584
"sigB",-0.602182531826808,10.3947649489213,11.2176559814581,0.00442338514059799,0.0233088559635584
"Rv0744c",-0.397263470597349,5.16936828893372,10.3133787713842,0.00443167019146543,0.0233088559635584
"panB",-0.300151249309153,7.09967254626839,10.3132055565654,0.0044318821201682,0.0233088559635584
"Rv2693c",-0.281753850730494,6.76102494726081,10.3089309354375,0.00443859544711383,0.0233129966474577
"fadE23",-0.589970197064168,9.94221340764745,11.1925957545203,0.00447552499598856,0.0234756204456253
"ncRv10243B",0.346984340156415,5.3129947040201,10.2590047501015,0.00451789078110055,0.0236662880597198
"nusB",0.335108831852221,5.95018311712133,10.2518769501656,0.00452931022055555,0.0236945563931722
"rpmD",0.354849729916156,5.80676011293714,10.2420628627367,0.00454515089492627,0.0237458481017795
"Rv3662c",0.959364380999021,5.77654507650809,13.9786355439709,0.00457245430938564,0.0238568106805346
"Rv2104a",0.801891792205418,2.64800020939051,10.1960442111307,0.00462154367419742,0.0240809971050234
"Rv0275c",-0.288976090335583,7.5261624775397,10.1901760684522,0.00462967412546638,0.0240914523936306
"Rv3213c",0.274120112111227,7.66903529613913,10.1615505847871,0.00467709024014277,0.0243060409573602
"vapC4",-0.591622089030144,3.49146591076795,10.1348439181402,0.00472214286180998,0.0245077968579953
"zwf1",0.294251947939916,6.69254641944985,10.1171445564279,0.00475171962697604,0.0245708821026153
"Rv0197",-0.250251585250591,7.54643446416534,10.1163413870395,0.00475307915069623,0.0245708821026153
"PE_PGRS35",-0.345779630295905,6.97189672581607,10.1303311472885,0.0047643455714599,0.0245708821026153
"yfiH",0.41087820107854,5.3758540276348,10.1091323878892,0.00476539094805781,0.0245708821026153
"sirR",0.31304212532912,5.76358431567184,10.1090349129132,0.00476552695584532,0.0245708821026153
"era",0.361940506990294,5.13836598587033,10.0929615861305,0.00479299535561795,0.0246801619489542
"pstC1",0.307839662232884,6.69675247274826,10.0876839086089,0.0048019927876291,0.0246941694464482
"vapC41",0.327512676070115,5.96016756966436,10.0827849613311,0.00481038990478855,0.0247034962485087
"lipU",-0.372100019052954,8.12743854498649,10.1518203651588,0.00482176742359505,0.0247034962485087
"ureB",0.48667709017792,3.4111724477334,10.071464173332,0.0048307299419322,0.0247034962485087
"Rv3258c",0.434025213546229,5.92849987978243,10.3428855353794,0.00483163727407679,0.0247034962485087
"Rv1434",0.520412484651689,4.72235359559765,10.2216547075409,0.00483575077004552,0.0247034962485087
"hspX",-0.85322089776037,12.9375777263196,10.0890322137225,0.00484630181148458,0.0247034962485087
"apa",-0.288046551027023,6.87884752883049,10.058018070249,0.00485315416545575,0.0247034962485087
"papA2",-0.260911262767749,6.44506191267607,10.0575124112464,0.00485404234877916,0.0247034962485087
"Rv0504c",-0.324147564864842,5.63229341496716,10.0250425505497,0.00491081681418777,0.0249601464431714
"Rv2223c",0.254642775187427,6.87765380333426,10.0075272440955,0.00494167252128967,0.025038421476843
"PE_PGRS46",-0.347707579812285,4.8422032530327,10.0059942198613,0.00494450404231107,0.025038421476843
"Rv1429",-0.377784056640449,4.71057722034181,10.0055304428609,0.0049453110034334,0.025038421476843
"Rv1977",-0.323146270275606,6.03223214856313,9.97395671917025,0.00500153719081987,0.0252905492399555
"PE7",-0.666442165675984,2.91083116688889,9.95755790388702,0.00503180604363557,0.025340499664283
"purA",-0.29991192025024,6.01045627738495,9.95637346750283,0.00503322918701566,0.025340499664283
"lipO",0.342952431768776,5.35830123873587,9.95514640386851,0.00503548435818649,0.025340499664283
"Rv3527",-0.374090272219134,5.58449360777446,9.95419386415868,0.00503718117373394,0.025340499664283
"fadE7",0.393570304113693,5.31175802219293,9.94068736091851,0.0050616916713876,0.0254312835699091
"Rv1515c",-0.479845418782729,4.96873066558185,10.0203626088808,0.00509140947949876,0.0255479654239134
"Rv2953",0.251253764510775,6.97369838969298,9.91928729413496,0.00510074617888355,0.0255622107869145
"scpA",0.384819414931383,5.24476568336301,9.90703946542076,0.00512337319061943,0.0256429390991054
"Rv1534",0.415172059847432,5.11661477677315,9.89860880461996,0.00513890806566925,0.0256588924557107
"tsf",0.283153566188338,6.94175014325023,9.89818315426896,0.00513960530124556,0.0256588924557107
"Rv2963",-0.420754265966986,6.82889676265495,10.1113036977807,0.00516884174780656,0.0257399748869726
"ubiA",0.348024247397646,5.95764372728375,9.88240262988787,0.00516893242519278,0.0257399748869726
"TB18.6",-0.4083677957679,5.88850621038737,10.0128203734148,0.00518154523849449,0.0257701630445478
"ilvA",0.275350601334695,7.11339880597844,9.84376125787595,0.00524139317006452,0.0260110918157236
"Rv1526c",0.450399976689491,3.97715056076236,9.84019174916015,0.0052484447435792,0.0260110918157236
